Player	Position	Team	Opponent	Projection	Salary	CPP
Jeff Heuerman	TE	DEN	NYJ	0.78	4500	5769
C.J. Uzomah	TE	CIN	CHI	0.77	4500	5844
Ben Koyack	TE	JAC	SEA	0.76	4500	5921
Phillip Supernaw	TE	TEN	ARI	0.76	4500	5921
Ed Dickson	TE	CAR	MIN	0.75	5000	6667
Derek Carrier	TE	LAR	PHI	0.45	4500	10000
David Morgan	TE	MIN	CAR	0.4	4500	11250
DeAndre Hopkins	WR	HOU	SFO	15.03	8600	572
Keenan Allen	WR	LAC	WAS	14.83	8400	566
Mike Evans	WR	TBB	DET	13.98	7300	522
A.J. Green	WR	CIN	CHI	13.71	8300	605
Adam Thielen	WR	MIN	CAR	12.62	7500	594
Golden Tate	WR	DET	TBB	12.45	6800	546
Tyreek Hill	WR	KCC	OAK	12.44	7800	627
Cooper Kupp	WR	LAR	PHI	12.39	6400	517
Doug Baldwin	WR	SEA	JAC	12.07	7400	613
Michael Crabtree	WR	OAK	KCC	12.05	7100	589
Alshon Jeffery	WR	PHI	LAR	11.89	7400	622
Larry Fitzgerald	WR	ARI	TEN	11.71	7600	649
Dez Bryant	WR	DAL	NYG	11.58	7200	622
Demaryius Thomas	WR	DEN	NYJ	11.26	6300	560
Marvin Jones	WR	DET	TBB	10.94	7000	640
Amari Cooper	WR	OAK	KCC	10.85	7000	645
Stefon Diggs	WR	MIN	CAR	10.61	6800	641
Sammy Watkins	WR	LAR	PHI	10.42	6300	605
T.Y. Hilton	WR	IND	BUF	10.37	6900	665
Sterling Shepard	WR	NYG	DAL	10.32	6400	620
Jamison Crowder	WR	WAS	LAC	10.31	6800	660
Emmanuel Sanders	WR	DEN	NYJ	10.22	6100	597
Robby Anderson	WR	NYJ	DEN	10.2	7700	755
Davante Adams	WR	GBP	CLE	10.06	6900	686
Devin Funchess	WR	CAR	MIN	10.02	7100	709
Marquise Goodwin	WR	SFO	HOU	9.8	5700	582
DeSean Jackson	WR	TBB	DET	9.46	6500	687
Josh Gordon	WR	CLE	GBP	9.14	6700	733
